Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,15005548,R14944047,"2025-12-22 04:25:04",-0.0007,5,r14944047
2,14983279,R14922015,"2025-12-20 12:41:44",-0.0010,12,weixuan0102
3,14954443,r14946008,"2025-12-24 02:04:31",-0.0011,14,r14946008
4,14983415,R14942142,"2025-12-23 17:11:46",-0.0013,13,r14942142
5,14983500,R14922101,"2025-12-20 07:45:24",-0.0015,9,r14922101
6,15006411,D13922037,"2025-12-23 02:50:36",-0.0015,6,roychao2026
7,14978568,R14922A11,"2025-12-20 08:46:04",-0.0016,10,qwaszxwesdxc12
8,14954667,p14922002,"2025-12-22 02:34:21",-0.0016,23,asasamdassadw
9,14952565,R13943141,"2025-12-22 15:30:26",-0.0016,8,hank7171
10,15002159,"Chiati Ling2","2025-12-22 05:15:01",-0.0016,4,chiatiling2
11,14951954,D13922024,"2025-12-23 16:33:28",-0.0017,18,cyma6060
12,14956571,B13902060,"2025-12-14 02:01:04",-0.0017,8,cwh555
13,14983517,b13902102,"2025-12-20 07:18:32",-0.0017,7,gaga1664
14,14958979,r14922125,"2025-12-21 11:25:03",-0.0018,19,dylan0413
15,14970950,R14922A13,"2025-12-22 12:36:51",-0.0019,6,r14922a13
16,14951568,R13942140,"2025-12-22 06:10:07",-0.0019,7,r13942140
17,14952051,R14944061,"2025-12-21 11:34:44",-0.0021,8,r14944061abulkalam
18,14956138,R13922A24,"2025-12-13 06:37:20",-0.0021,5,r13922a24ntuedutw
19,14951966,B12505010,"2025-12-22 05:14:30",-0.0021,8,b12505010
20,14956702,R13945041,"2025-12-19 04:06:03",-0.0022,4,kakakamiko
21,14956901,B13902014,"2025-12-14 06:25:19",-0.0022,5,willychanntu
22,14955081,R14943148,"2025-12-21 16:56:09",-0.0022,11,r14943148
23,14965561,A14922107,"2025-12-16 01:17:00",-0.0024,9,a14922107
24,14958866,R14922163,"2025-12-21 00:26:34",-0.0024,5,lawrhis
25,14958860,B11202015,"2025-12-19 09:43:08",-0.0024,4,enshengteng
26,15000822,D13944011,"2025-12-21 04:01:12",-0.0024,5,d13944011
