Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,14956571,B13902060,"2025-12-14 02:01:04",-0.0011,8,cwh555
2,14955139,r14922115,"2025-12-23 19:31:00",-0.0012,24,r14922115
3,14958979,r14922125,"2025-12-21 11:25:03",-0.0012,19,dylan0413
4,14956138,R13922A24,"2025-12-13 06:37:20",-0.0012,5,r13922a24ntuedutw
5,14983500,R14922101,"2025-12-20 07:45:24",-0.0012,9,r14922101
6,14965561,A14922107,"2025-12-16 01:17:00",-0.0013,9,a14922107
7,14977092,b10801011,"2025-12-21 05:08:05",-0.0013,10,kkykk18
8,14979960,b11801004,"2025-12-21 11:16:29",-0.0013,7,william25885
9,14952435,b12505014,"2025-12-21 08:58:18",-0.0013,8,b12505014
10,14955435,R14922142,"2025-12-16 05:23:27",-0.0014,13,misuhsieh
11,14956875,B11901166,"2025-12-23 15:42:54",-0.0014,25,b11901166
12,14956824,D13922001,"2025-12-14 01:38:28",-0.0014,9,d13922001
13,14951966,B12505010,"2025-12-22 05:14:30",-0.0014,8,b12505010
14,14964088,B11901053,"2025-12-23 13:17:15",-0.0014,9,murphhsu
15,14951954,D13922024,"2025-12-23 16:33:28",-0.0015,18,cyma6060
16,15005548,R14944047,"2025-12-22 04:25:04",-0.0015,5,r14944047
17,14983415,R14942142,"2025-12-23 17:11:46",-0.0015,13,r14942142
18,14982707,R14945026,"2025-12-21 12:30:58",-0.0015,14,maxzyz
19,15003082,B13901007,"2025-12-21 10:50:57",-0.0015,2,sixianhsu
20,14993781,R14922A14,"2025-12-22 22:50:51",-0.0015,3,blebub
21,14948342,R14944045,"2025-12-19 15:55:20",-0.0016,10,r14944045
22,14978568,R14922A11,"2025-12-20 08:46:04",-0.0016,10,qwaszxwesdxc12
23,14956044,r14922172,"2025-12-21 09:54:43",-0.0016,14,r14922172t
24,14982874,D14942014,"2025-12-22 05:41:15",-0.0016,6,d14942014
25,14964070,R14944052,"2025-12-14 10:11:00",-0.0016,3,r14944052
26,14966594,R14922010,"2025-12-23 08:54:36",-0.0016,7,ytbr14
27,14968063,r13k41017,"2025-12-22 14:53:00",-0.0016,7,r13k41017
28,14948092,D14922013,"2025-12-21 12:58:00",-0.0016,8,ntud14922013
29,14999038,R14922164,"2025-12-22 01:38:01",-0.0017,4,davidg34
30,14954667,p14922002,"2025-12-22 02:34:21",-0.0017,23,asasamdassadw
31,14976096,D14944008,"2025-12-23 00:08:57",-0.0017,4,mengkaihsu
32,14955015,r14922121,"2025-12-21 02:29:45",-0.0017,9,mazihheng
33,14951568,R13942140,"2025-12-22 06:10:07",-0.0017,7,r13942140
34,15002159,"Chiati Ling2","2025-12-22 05:15:01",-0.0018,4,chiatiling2
35,14954745,U112582009,"2025-12-20 02:56:04",-0.0018,7,cghaocg
36,15010214,R14C42010,"2025-12-23 07:52:00",-0.0018,4,r14c42010
37,14952051,R14944061,"2025-12-21 11:34:44",-0.0018,8,r14944061abulkalam
38,15000822,D13944011,"2025-12-21 04:01:12",-0.0019,5,d13944011
39,14996800,R14922073,"2025-12-24 02:12:02",-0.0019,9,r14922073
40,14983517,b13902102,"2025-12-20 07:18:32",-0.0020,7,gaga1664
41,15006411,D13922037,"2025-12-23 02:50:36",-0.0020,6,roychao2026
42,14956027,R14944050,"2025-12-23 20:14:42",-0.0020,18,r14944050
43,14951174,R14922126,"2025-12-19 07:48:41",-0.0020,4,r14922126ntu
44,14957078,r13521527,"2025-12-21 09:38:25",-0.0020,12,ntuihungwu
45,14956164,b11901152,"2025-12-22 21:56:04",-0.0020,8,dereklin20031205
46,14955081,R14943148,"2025-12-21 16:56:09",-0.0020,11,r14943148
47,14958866,R14922163,"2025-12-21 00:26:34",-0.0020,5,lawrhis
